tripduration,starttime,stoptime,startStationId,startStationName,startStationLatitude,startStationLongitude,endStationId,endStationName,endStationLatitude,endStationLongitude,bikeid,name_localizedValue0,usertype,birth year,gender
452,2018-05-01 06:15:55,2018-05-01 06:23:28,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73074262530658,-74.06378388404846,33658,Annual Membership,Subscriber,1971,1
177,2018-05-01 06:21:17,2018-05-01 06:24:14,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,33604,Annual Membership,Subscriber,1959,2
2056,2018-05-01 06:25:13,2018-05-01 06:59:30,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,29219,Annual Membership,Subscriber,1991,1
395,2018-05-01 06:25:42,2018-05-01 06:32:18,3210,Pershing Field,40.742677141,-74.051788633,3198,Heights Elevator,40.748715945380226,-74.04044330120087,33567,Annual Membership,Subscriber,1990,1
265,2018-05-01 06:26:18,2018-05-01 06:30:44,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33646,Annual Membership,Subscriber,1987,2
367,2018-05-01 06:28:03,2018-05-01 06:34:10,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26235,Single Ride,Customer,1983,2
113,2018-05-01 06:28:20,2018-05-01 06:30:13,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,33649,Annual Membership,Subscriber,1995,2
167,2018-05-01 06:28:45,2018-05-01 06:31:33,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29280,Annual Membership,Subscriber,1980,1
191,2018-05-01 06:30:23,2018-05-01 06:33:35,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26203,$25 Off Annual Membership,Subscriber,1993,1
649,2018-05-01 06:34:48,2018-05-01 06:45:38,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.73074262530658,-74.06378388404846,33652,Annual Membership,Subscriber,1990,1
157,2018-05-01 06:35:08,2018-05-01 06:37:45,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3481,York St,40.71649,-74.04105,26160,Annual Membership,Subscriber,1988,1
214,2018-05-01 06:35:19,2018-05-01 06:38:54,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,26232,Annual Membership,Subscriber,1983,1
481,2018-05-01 06:35:47,2018-05-01 06:43:48,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3184,Paulus Hook,40.7141454,-74.0335519,29642,Annual Membership,Subscriber,1988,1
217,2018-05-01 06:36:35,2018-05-01 06:40:12,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,26175,Annual Membership,Subscriber,1968,1
664,2018-05-01 06:36:45,2018-05-01 06:47:49,3210,Pershing Field,40.742677141,-74.051788633,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,33655,Annual Membership,Subscriber,1981,1
136,2018-05-01 06:37:05,2018-05-01 06:39:22,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,26179,Annual Membership from Citi Bike App,Subscriber,1992,1
691,2018-05-01 06:37:57,2018-05-01 06:49:29,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3183,Exchange Place,40.7162469,-74.0334588,33579,Annual Membership,Subscriber,1977,1
141,2018-05-01 06:38:28,2018-05-01 06:40:50,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,29446,Annual Membership,Subscriber,1964,1
203,2018-05-01 06:39:45,2018-05-01 06:43:09,3481,York St,40.71649,-74.04105,3639,Harborside,40.7192517,-74.034234,26306,Annual Membership,Subscriber,1986,1
356,2018-05-01 06:40:07,2018-05-01 06:46:03,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,33618,Annual Membership,Subscriber,1979,1
362,2018-05-01 06:42:19,2018-05-01 06:48:22,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,26163,Annual Membership,Subscriber,1981,1
202,2018-05-01 06:43:07,2018-05-01 06:46:29,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,29288,Join Citi Bike for $14.95/month,Subscriber,1990,1
217,2018-05-01 06:43:19,2018-05-01 06:46:56,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,26255,Annual Membership,Subscriber,1965,2
347,2018-05-01 06:45:59,2018-05-01 06:51:46,3195,Sip Ave,40.73074262530658,-74.06378388404846,3212,Christ Hospital,40.734785818,-74.050443636,29493,Annual Membership,Subscriber,1958,1
156,2018-05-01 06:49:01,2018-05-01 06:51:37,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33569,Annual Membership,Subscriber,1970,1
239,2018-05-01 06:49:01,2018-05-01 06:53:01,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,33595,Annual Membership from Citi Bike App,Subscriber,1988,1
217,2018-05-01 06:49:57,2018-05-01 06:53:34,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33576,Annual Membership,Subscriber,1985,1
462,2018-05-01 06:50:04,2018-05-01 06:57:46,3195,Sip Ave,40.73074262530658,-74.06378388404846,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,33555,Annual Membership,Subscriber,1990,1
171,2018-05-01 06:50:28,2018-05-01 06:53:20,3213,Van Vorst Park,40.71848892,-74.047726625,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,33621,Annual Membership,Subscriber,1962,2
168,2018-05-01 06:50:29,2018-05-01 06:53:17,3213,Van Vorst Park,40.71848892,-74.047726625,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,33653,Annual Membership,Subscriber,1962,1
353,2018-05-01 06:51:13,2018-05-01 06:57:06,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29434,Annual Membership,Subscriber,1986,2
218,2018-05-01 06:51:33,2018-05-01 06:55:11,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26224,Annual Membership,Subscriber,1969,1
338,2018-05-01 06:52:07,2018-05-01 06:57:45,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26265,Annual Membership,Subscriber,1984,2
157,2018-05-01 06:55:11,2018-05-01 06:57:49,3267,Morris Canal,40.7124188237569,-74.03852552175522,3184,Paulus Hook,40.7141454,-74.0335519,33565,$25 Off Annual Membership,Subscriber,1993,1
