tripduration,starttime,stoptime,startStation id,startStationName,startStationLatitude,startStationLongitude,endStationId,endStationName,endStationLatitude,endStationLongitude,bikeid,name_localizedValue0,usertype,birth year,gender
338,2018-05-01 00:04:47,2018-05-01 00:10:25,3639,Harborside,40.7192517,-74.034234,3199,Newport Pkwy,40.7287448,-74.0321082,33558,Annual Membership,Subscriber,1988,1
1482,2018-05-01 01:31:10,2018-05-01 01:55:53,3681,Grand St,40.71517767732029,-74.03768330812454,3185,City Hall,40.7177325,-74.043845,33593,24 Hour,Customer,NULL,0
232,2018-05-01 01:31:29,2018-05-01 01:35:22,3194,McGinley Square,40.7253399253558,-74.06762212514877,3193,Lincoln Park,40.7246050998869,-74.07840594649315,29217,FREE Bonus Month with Annual Membership,Subscriber,1985,1
190,2018-05-01 02:03:29,2018-05-01 02:06:40,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29662,24 Hour,Customer,NULL,0
303,2018-05-01 04:27:12,2018-05-01 04:32:16,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074262530658,-74.06378388404846,15271,Annual Membership,Subscriber,1984,2
176,2018-05-01 04:37:05,2018-05-01 04:40:01,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,29298,Annual Membership,Subscriber,1989,2
577,2018-05-01 05:05:46,2018-05-01 05:15:23,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.04311746358871,33619,Annual Membership from Citi Bike App,Subscriber,1964,1
830,2018-05-01 05:11:50,2018-05-01 05:25:41,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,33624,Annual Membership,Subscriber,1984,2
395,2018-05-01 05:12:07,2018-05-01 05:18:42,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958611647166,-74.04311746358871,26300,Annual Membership,Subscriber,1993,1
170,2018-05-01 05:13:52,2018-05-01 05:16:43,3206,Hilltop,40.7311689,-74.0575736,3195,Sip Ave,40.73074262530658,-74.06378388404846,33555,$25 Off Annual Membership,Subscriber,1992,1
353,2018-05-01 05:18:36,2018-05-01 05:24:29,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074262530658,-74.06378388404846,33627,Annual Membership,Subscriber,1962,1
